area_code,area_name,10%,50%,30%,70,90,60,80,20,100,40,0,avg_life_satisfaction
206071140,Carlton North - Princes Hill,0.21,5.3,1.21,21.85,15.87,6.25,35.17,0.21,11.56,1.67,0.68,76.768
206071139,Abbotsford,0.09,5.06,1.15,21.62,17.17,6.21,35.16,0.17,11.33,1.44,0.6,77.265
206061138,Toorak,0.37,4.73,0.53,18.04,18.76,5.27,35.05,0.21,15.19,1.17,0.67,78.975
206061137,South Yarra - East,0.26,5.42,1.14,21.9,15.16,7.03,35.43,0.32,10.56,1.86,0.93,75.982
206051134,St Kilda East,0.11,5.69,1.19,22.9,14.75,7.11,34.89,0.4,10.07,1.98,0.92,75.638
206051133,St Kilda,0.12,5.25,1.12,22.94,14.45,7.62,35.14,0.34,9.91,2.14,0.98,75.554
206051132,South Melbourne,0.3,5.28,1.16,20.04,17.07,5.95,34.97,0.4,11.81,1.95,1.07,76.625
206051131,Port Melbourne Industrial,null,null,null,null,null,null,null,null,null,null,null,null
206051129,Elwood,0.19,5.21,0.86,21.51,16.34,6.57,35.76,0.36,10.46,1.85,0.9,76.467
206051128,Albert Park,0.37,4.81,0.81,19.29,17.72,5.4,36.3,0.22,12.81,1.43,0.82,77.842
206041124,Parkville,0.13,5.96,1.23,23.76,14.99,6.41,34.74,0.16,10.36,1.59,0.68,76.151
206041123,North Melbourne,0.14,6.05,1.75,24,13.84,7.16,33.84,0.34,9.97,1.96,0.95,75.01
206041122,Melbourne,0,3.48,2.46,33.93,9.36,7.18,33.48,0.15,6.38,2.91,0.67,73.319
206041121,Kensington,0.16,5.38,1.27,21.61,16.46,6.73,35.08,0.27,10.49,1.77,0.78,76.382
206041117,Carlton,0,5.06,3.56,31.89,7.36,7.57,33.49,0.18,6.93,2.17,1.8,71.713
206031116,Moonee Ponds,0.15,5.05,0.7,19.65,16.84,5.54,35.33,0.25,14.37,1.48,0.63,78.261
206031114,Essendon - Aberfeldie,0.2,4.84,0.54,19.38,17.17,5.69,34.93,0.24,14.96,1.45,0.6,78.567
206041127,West Melbourne,null,null,null,null,null,null,null,null,null,null,null,null
206031113,Ascot Vale,0.13,5.48,1.09,20.74,15.78,6.12,34.33,0.34,13.41,1.71,0.86,77.098
206041126,Southbank,0.06,4.23,1.1,25.33,14.17,7.04,36.55,0.11,8.76,1.76,0.88,75.885
206021112,Thornbury,0.14,5.99,1.15,20.96,15.53,6.15,34.57,0.43,12.6,1.67,0.81,76.703
206021111,Northcote,0.12,5.56,1.07,20.11,16.62,5.69,35.69,0.31,12.59,1.57,0.67,77.394
206021110,Alphington - Fairfield,0.13,5.28,0.91,20.26,16.74,5.73,34.97,0.3,13.31,1.66,0.71,77.622
206011109,Pascoe Vale South,0.13,5.38,0.71,18.79,17.86,5.25,34.85,0.28,14.81,1.34,0.58,78.575
206011108,Coburg,0.12,5.96,1.09,19.89,16.33,5.91,34.93,0.29,13.39,1.38,0.69,77.429
206011107,Brunswick West,0.16,5.98,1.16,21.69,15.12,6.45,34.09,0.36,12.5,1.67,0.82,76.527
206041120,Flemington Racecourse,null,null,null,null,null,null,null,null,null,null,null,null
206041119,East Melbourne,0.32,4.55,0.6,21.09,16.11,6.33,37.68,0.19,10.8,1.46,0.87,77.113
206041118,Docklands,0.37,3.81,0.87,23.75,15.24,7.14,36.23,0.14,9.74,1.61,1.1,76.224
206031115,Flemington,0.14,6.63,1.65,22.56,14.32,7.15,32.31,0.51,11.41,2.18,1.14,75.026
206011106,Brunswick East,0.06,5.87,1.28,21.51,15.9,6.26,35.48,0.24,11.22,1.52,0.66,76.708
206011105,Brunswick,0.11,5.89,1.28,21.97,15.25,6.47,34.85,0.27,11.54,1.66,0.72,76.464
206071144,Richmond (Vic.),0.19,5.36,1.22,20.99,16.61,6.44,35.26,0.31,10.97,1.8,0.84,76.531
206071145,Yarra - North,0.19,4.91,0.79,19.64,16.81,5.86,36.19,0.22,13.23,1.5,0.65,77.93
206071143,Fitzroy North,0.17,5.59,1.13,21.11,16.71,6.13,34.68,0.32,11.64,1.75,0.78,76.793
206071142,Fitzroy,0.15,6.13,1.58,22,15.33,7.03,33.89,0.45,10.26,2.04,1.15,75.247
206071141,Collingwood,0.04,6.55,1.93,23.04,13.55,7.62,33.17,0.48,10.08,2.24,1.27,74.361
206061136,Prahran - Windsor,0.13,5.59,1.18,21.66,15.35,6.58,36.05,0.25,10.56,1.77,0.87,76.245
206061135,Armadale,0.26,5.11,0.84,19.99,16.84,6.03,35.27,0.29,13.02,1.58,0.75,77.526
206041125,South Yarra - West,0.44,4.68,0.8,20.69,16.28,6.31,36.14,0.18,12.06,1.56,0.85,77.177
206051130,Port Melbourne,0.35,4.93,0.86,19.12,17.99,5.5,35.92,0.35,12.33,1.68,0.98,77.441
