STATIONNAME, METLINKSTOPID, area_code, area_name, feature_code, feature_name
"Flagstaff","19841",206041123,"North Melbourne","206041123","North Melbourne"
"Melbourne Central","19842",206041122,"Melbourne","206041122","Melbourne"
"Parliament","19843",206041119,"East Melbourne","206041119","East Melbourne"
"Flinders Street","19854",206041122,"Melbourne","206041122","Melbourne"
"Burnley","19906",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"East Richmond","19907",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"Richmond","19908",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"Heyington","19909",206061138,"Toorak","206061138","Toorak"
"Westgarth","19928",206021111,"Northcote","206021111","Northcote"
"Dennis","19929",206021111,"Northcote","206021111","Northcote"
"Fairfield","19930",206021110,"Alphington - Fairfield","206021110","Alphington - Fairfield"
"Alphington","19931",206021110,"Alphington - Fairfield","206021110","Alphington - Fairfield"
"Armadale","19945",206061135,"Armadale","206061135","Armadale"
"Toorak","19946",206061135,"Armadale","206061135","Armadale"
"Hawksburn","19947",206061137,"South Yarra - East","206061137","South Yarra - East"
"Ripponlea","19955",206051134,"St Kilda East","206051134","St Kilda East"
"Balaclava","19956",206051134,"St Kilda East","206051134","St Kilda East"
"Windsor","19957",206061136,"Prahran - Windsor","206061136","Prahran - Windsor"
"Prahran","19958",206061136,"Prahran - Windsor","206061136","Prahran - Windsor"
"South Yarra","19959",206061137,"South Yarra - East","206061137","South Yarra - East"
"Coburg","19965",206011108,"Coburg","206011108","Coburg"
"Moreland","19966",206011108,"Coburg","206011108","Coburg"
"Anstey","19967",206011105,"Brunswick","206011105","Brunswick"
"Brunswick","19968",206011105,"Brunswick","206011105","Brunswick"
"Jewell","19969",206011105,"Brunswick","206011105","Brunswick"
"Royal Park","19970",206041124,"Parkville","206041124","Parkville"
"Flemington Bridge","19971",206031115,"Flemington","206031115","Flemington"
"Macaulay","19972",206041123,"North Melbourne","206041123","North Melbourne"
"North Melbourne","19973",206041127,"West Melbourne","206041127","West Melbourne"
"Clifton Hill","19974",206071145,"Yarra - North","206071145","Yarra - North"
"Victoria Park","19975",206071139,"Abbotsford","206071139","Abbotsford"
"Collingwood","19976",206071139,"Abbotsford","206071139","Abbotsford"
"North Richmond","19977",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"West Richmond","19978",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"Jolimont-MCG","19979",206041119,"East Melbourne","206041119","East Melbourne"
"Thornbury","20014",206021112,"Thornbury","206021112","Thornbury"
"Croxton","20015",206021111,"Northcote","206021111","Northcote"
"Northcote","20016",206021111,"Northcote","206021111","Northcote"
"Merri","20017",206021111,"Northcote","206021111","Northcote"
"Rushall","20019",206071143,"Fitzroy North","206071143","Fitzroy North"
"South Kensington","20026",206041121,"Kensington","206041121","Kensington"
"Flemington Racecourse","20027",206041120,"Flemington Racecourse","206041120","Flemington Racecourse"
"Showgrounds","20028",206041120,"Flemington Racecourse","206041120","Flemington Racecourse"
"Strathmore","20035",206031114,"Essendon - Aberfeldie","206031114","Essendon - Aberfeldie"
"Glenbervie","20036",206031114,"Essendon - Aberfeldie","206031114","Essendon - Aberfeldie"
"Essendon","20037",206031114,"Essendon - Aberfeldie","206031114","Essendon - Aberfeldie"
"Moonee Ponds","20038",206031116,"Moonee Ponds","206031116","Moonee Ponds"
"Ascot Vale","20039",206031113,"Ascot Vale","206031113","Ascot Vale"
"Newmarket","20040",206031115,"Flemington","206031115","Flemington"
"Kensington","20041",206041121,"Kensington","206041121","Kensington"
"Southern Cross","20043",206041118,"Docklands","206041118","Docklands"
"Southern Cross","22180",206041118,"Docklands","206041118","Docklands"
"Flinders Street","22238",206041122,"Melbourne","206041122","Melbourne"
"North Melbourne","22239",206041127,"West Melbourne","206041127","West Melbourne"
"Richmond","22247",206071144,"Richmond (Vic.)","206071144","Richmond (Vic.)"
"Essendon","22253",206031114,"Essendon - Aberfeldie","206031114","Essendon - Aberfeldie"
