area_code,area_name,obese_perc,overweight_perc
206051130,Port Melbourne,16.73400255,33.83737142
206061135,Armadale,13.95429063,34.68678293
206011105,Brunswick,18.56977822,32.4869804
206011106,Brunswick East,18.56977822,32.4869804
206031115,Flemington,17.40304539,32.61291497
206041118,Docklands,12.24663913,33.85315734
206041119,East Melbourne,13.86543749,34.34884254
206041120,Flemington Racecourse,15.84330626,32.84863546
206041125,South Yarra - West,13.86543749,34.34884254
206061136,Prahran - Windsor,15.71179651,32.79983221
206071141,Collingwood,15.42166245,31.30002276
206071142,Fitzroy,15.42166245,31.30002276
206011107,Brunswick West,23.62081598,34.95863277
206011108,Coburg,26.07101574,34.10165508
206011109,Pascoe Vale South,23.62081598,34.95863277
206021110,Alphington - Fairfield,20.12172774,34.35737249
206021111,Northcote,20.12172774,34.35737249
206021112,Thornbury,25.02823378,33.93530256
206041126,Southbank,12.24663913,33.85315734
206031113,Ascot Vale,25.81129999,34.09757418
206041127,West Melbourne,12.24663913,33.85315734
206031114,Essendon - Aberfeldie,21.59055001,35.93331393
206031116,Moonee Ponds,21.59055001,35.93331393
206041117,Carlton,14.16359066,31.6719404
206041121,Kensington,15.84330626,32.84863546
206041122,Melbourne,11.77135358,30.39681257
206041123,North Melbourne,14.45895045,31.50752782
206041124,Parkville,16.08530799,35.45054261
206051128,Albert Park,13.72306076,34.97994136
206051129,Elwood,14.20910791,33.10896307
206051131,Port Melbourne Industrial,16.73400255,33.83737142
206051132,South Melbourne,15.78577349,33.37469595
206051133,St Kilda,16.72786335,34.0736661
206051134,St Kilda East,16.72786335,34.0736661
206061137,South Yarra - East,15.71179651,32.79983221
206061138,Toorak,13.95429063,34.68678293
206071139,Abbotsford,15.6689046,33.55966579
206071140,Carlton North - Princes Hill,14.63942739,33.94836706
206071143,Fitzroy North,14.63942739,33.94836706
206071144,Richmond (Vic.),15.98807016,33.60128584
206071145,Yarra - North,15.6689046,33.55966579
