area_code,area_name,eco_reso_index
206041125,South Yarra - West,973
206011105,Brunswick,944
206011106,Brunswick East,956
206031115,Flemington,832
206041118,Docklands,944
206041119,East Melbourne,987
206041120,Flemington Racecourse,914
206041126,Southbank,929
206051130,Port Melbourne,996
206051134,St Kilda East,939
206061135,Armadale,1000
206061136,Prahran - Windsor,947
206071141,Collingwood,836
206071142,Fitzroy,875
206011107,Brunswick West,939
206071143,Fitzroy North,963
206011108,Coburg,974
206011109,Pascoe Vale South,1021
206071144,Richmond (Vic.),936
206071145,Yarra - North,1012
206021110,Alphington - Fairfield,1009
206021111,Northcote,987
206021112,Thornbury,959
206041121,Kensington,955
206031113,Ascot Vale,955
206041122,Melbourne,785
206031114,Essendon - Aberfeldie,1019
206031116,Moonee Ponds,1008
206041117,Carlton,762
206041123,North Melbourne,860
206041124,Parkville,932
206051128,Albert Park,1009
206051129,Elwood,981
206051132,South Melbourne,943
206051133,St Kilda,925
206061137,South Yarra - East,923
206061138,Toorak,1032
206071139,Abbotsford,981
206071140,Carlton North - Princes Hill,957
