area_code,area_name,median_age,median_household_income,median_rent
206011105,Brunswick,33,1432,350
206011106,Brunswick East,33,1468,351
206011107,Brunswick West,34,1232,277
206011108,Coburg,35,1325,330
206011109,Pascoe Vale South,38,1433,323
206021110,Alphington - Fairfield,36,1501,300
206021111,Northcote,36,1564,346
206021112,Thornbury,36,1275,288
206031113,Ascot Vale,35,1448,266
206031114,Essendon - Aberfeldie,38,1539,300
206031115,Flemington,31,1105,250
206031116,Moonee Ponds,37,1609,321
206041117,Carlton,25,589,339
206041118,Docklands,31,1900,508
206041119,East Melbourne,36,1997,410
206041120,Flemington Racecourse,26,1458,329
206041121,Kensington,32,1718,350
206041122,Melbourne,26,1039,415
206041123,North Melbourne,29,1338,369
206041124,Parkville,24,1493,370
206041125,South Yarra - West,35,1871,381
206041126,Southbank,29,1838,496
206051128,Albert Park,38,2063,460
206051129,Elwood,34,1714,350
206051130,Port Melbourne,38,1998,450
206051132,South Melbourne,37,1719,400
206051133,St Kilda,34,1495,340
206051134,St Kilda East,33,1421,323
206061135,Armadale,36,1711,350
206061136,Prahran - Windsor,33,1587,365
206061137,South Yarra - East,33,1633,360
206061138,Toorak,43,1976,380
206071139,Abbotsford,35,1792,391
206071140,Carlton North - Princes Hill,32,1739,411
206071141,Collingwood,32,1278,280
206071142,Fitzroy,33,1482,350
206071143,Fitzroy North,35,1698,369
206071144,Richmond (Vic.),33,1730,370
206071145,Yarra - North,36,1898,364
